"";"Funcao";"Nome_funcao";"Funcao_Maius";"ente";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"1";"01 - Legislativa";"Legislativa";"LEGISLATIVA";"Estados";0,0029;0,0029;0,0029;0,0029;0,003;0,0029;0,0029;0,0028;0,0025;0,0023;0,0021;0,0022;0,0021;0,0024;0,0024;0,0022
"2";"01 - Legislativa";"Legislativa";"LEGISLATIVA";"Municípios";0,0018;0,0022;0,0019;0,0016;0,0018;0,0019;0,0018;0,0021;0,0019;0,0016;0,0016;0,003;0,0016;0,002;0,0019;0,0021
"3";"01 - Legislativa";"Legislativa";"LEGISLATIVA";"União";0,0017;0,0018;0,0018;0,0018;0,0017;0,0016;0,0015;0,0015;0,0013;0,0012;0,0011;0,0011;0,001;0,001;0,001;0,001
"4";"02 - Judiciária";"Judiciária";"JUDICIÁRIA";"Estados";0,0067;0,0074;0,0066;0,0071;0,0073;0,0071;0,0063;0,0062;0,0055;0,0056;0,0051;0,005;0,0052;0,006;0,006;0,006
"5";"02 - Judiciária";"Judiciária";"JUDICIÁRIA";"Municípios";2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;2e-04;1e-04;2e-04;1e-04;2e-04;2e-04;2e-04
"6";"02 - Judiciária";"Judiciária";"JUDICIÁRIA";"União";0,0055;0,0049;0,0054;0,0049;0,0053;0,0052;0,0053;0,0061;0,0051;0,0045;0,0045;0,0043;0,0044;0,0046;0,0045;0,0047
"7";"03 - Essencial à Justiça";"Essencial à Justiça";"ESSENCIAL À JUSTIÇA";"Estados";0,0013;0,0014;0,0018;0,002;0,0021;0,0022;0,003;0,0028;0,0026;0,0023;0,0023;0,0022;0,0022;0,0026;0,0028;0,0028
"8";"03 - Essencial à Justiça";"Essencial à Justiça";"ESSENCIAL À JUSTIÇA";"Municípios";1e-04;1e-04;0;0;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04
"9";"03 - Essencial à Justiça";"Essencial à Justiça";"ESSENCIAL À JUSTIÇA";"União";7e-04;8e-04;0,0011;0,0011;0,0011;0,0012;0,0013;0,0015;0,0012;0,0011;7e-04;8e-04;8e-04;9e-04;9e-04;9e-04
"10";"04 - Administração";"Administração";"ADMINISTRAÇÃO";"Estados";0,0074;0,0065;0,0079;0,0074;0,0071;0,0081;0,0079;0,0071;0,0064;0,0059;0,0057;0,0061;0,0058;0,0055;0,0054;0,0046
"11";"04 - Administração";"Administração";"ADMINISTRAÇÃO";"Municípios";0,0076;0,0093;0,0081;0,0074;0,0082;0,0092;0,0088;0,0095;0,0092;0,0083;0,008;0,0091;0,0088;0,0093;0,0081;0,0087
"12";"04 - Administração";"Administração";"ADMINISTRAÇÃO";"União";0,0055;0,0043;0,0046;0,0042;0,0042;0,0046;0,0042;0,0051;0,0046;0,0039;0,0041;0,0036;0,0033;0,0032;0,0035;0,0038
"13";"05 - Defesa Nacional";"Defesa Nacional";"DEFESA NACIONAL";"Estados";0,0033;0;0;6e-04;0;0;0;0;0;0;0;0;0;0;0;0
"14";"05 - Defesa Nacional";"Defesa Nacional";"DEFESA NACIONAL";"Municípios";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
