"";"valor";"funcao"
"1";15150469144,13;"01 - Legislativa"
"2";1685995382,42;"02 - Judiciária"
"3";781964995,37;"03 - Essencial à Justiça"
"4";67464264603,6;"04 - Administração"
"5";31254668,01;"05 - Defesa Nacional"
"6";6321417223,76;"06 - Segurança Pública"
"7";1036091,89;"07 - Relações Exteriores"
"8";18017931018,68;"08 - Assistência Social"
"9";52578850819,71;"09 - Previdência Social"
"10";154441005823,08;"10 - Saúde"
"11";1106203447,31;"11 - Trabalho"
"12";164974936791,44;"12 - Educação"
"13";5377734894,2;"13 - Cultura"
"14";708863217,26;"14 - Direitos da Cidadania"
"15";59934813496,85;"15 - Urbanismo"
"16";2551811347,65;"16 - Habitação"
"17";15842251306,75;"17 - Saneamento"
"18";5884758845,18;"18 - Gestão Ambiental"
"19";336835673,19;"19 - Ciência e Tecnologia"
"20";4078622138,11;"20 - Agricultura"
"21";27108838,22;"21 - Organização Agrária"
"22";499447165,89;"22 - Indústria"
"23";2111951019,99;"23 - Comércio e Serviços"
"24";616159017,38;"24 - Comunicações"
"25";2000062065,29;"25 - Energia"
"26";15029034550,81;"26 - Transporte"
"27";4230742843,3;"27 - Desporto e Lazer"
"28";25105810943,86;"28 - Encargos Especiais"
