"";"Funcao";"ente";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"1";"01 - Legislativa";"Consolidado";9457,47798173;11921,06395865;12832,0038920032;13726,35150972;15606,34706148;17353,64962867;19209,02201811;21542,51085986;21997,76499718;22510,77250927;23276,80818731;28095,53722596;27470,26986664;32612,2034323;33466,62524076;35011,38183355;37371;38294;40196
"2";"02 - Judiciária";"Consolidado";18361,40076177;21357,77423211;23765,8125525496;26324,82997762;30764,81661901;33887,58009208;36735,87843686;41894,26224143;41868,30528598;44868,125448;47101,90893153;50241,98589072;56061,69467615;64246,9967324;67200,81204668;71393,79169135;75446;79345;78521
"3";"03 - Essencial à Justiça";"Consolidado";3110,27486869;3859,45646086;5789,20227163;6635,86067971;7875,46189856;9458,75394004;13422,82276075;14579,50331295;15040,81042331;15476,20789342;14872,50420531;16147,95986761;17882,70292873;21856,1816974;23735,0551159;25167,19975386;27125;28724;29958
"4";"04 - Administração";"Consolidado";30569,92848412;34542,54542228;40257,0664148562;41261,81907156;47120,19785094;59634,02672391;65046,68369122;72429,15963135;78397,4546257;79443,6405915101;85872,73195934;100229,80660291;103109,11180854;108079,29712347;106205,37541218;111497,80649181;125853;120249,4;129659
"5";"05 - Defesa Nacional";"Consolidado";17545,29442084;11611,971319;13583,73025703;16677,34723643;16653,80550672;19335,21995594;22194,79736762;26170,62566963;31858,70029106;31928,31225456;36587,84948664;37319,4142057;39742,01752042;40962,3987758;61613,27670117;68172,12435085;76372;83864;81953
"6";"06 - Segurança Pública";"Consolidado";16458,02283677;22628,87954704;23622,5959702729;26654,99993888;31870,20559898;36193,85646397;41155,79724411;48254,22070083;49196,12725094;53794,52344068;52525,36632895;55187,78526562;66303,8767419;80374,64238418;85420,70507806;88385,09257444;96595;99051;103527
"7";"07 - Relações Exteriores";"Consolidado";1714,30640418;1174,23934123;1364,02315296;1535,70611527;1373,20338709;1420,49192542;1847,6820675;1559,17799112;1802,06920538;1817,25199517;2167,85824287;2144,15366191;2307,97219017;3021,30773431;2777,35787948;2855,59876688;3108;3199;3734
"8";"08 - Assistência Social";"Consolidado";12946,36443474;14106,38485241;18956,2522761411;21577,40143525;28486,38157507;32948,89311994;38195,80145265;44136,25546796;51930,89134359;59064,10577892;71196,09651415;82195,4284032;87279,72373818;93429,74753421;98644,02444526;105505,71139842;111378;118167;451207
"9";"09 - Previdência Social";"Consolidado";145681,85031429;168799,94093299;195618,98982637;221180,00918905;250992,94496415;277223,98625806;315797,59362223;361167,0623229;402368,2449173;447337,84388403;503728,35985367;552921,21210905;617409,09556345;688811,21036748;767917,81670454;838339,54724615;890687;949664;1008994
"10";"10 - Saúde";"Consolidado";54952,53125736;71006,69226229;84223,59562795;92755,22551644;106687,88692468;124522,91114672;142781,7168934;166012,21187293;183321,27279633;198477,17401132;220885,13417304;252744,75577952;266233,65052698;308004,38683731;314067,05296913;340838,04135566;365629;374425;468857
"11";"11 - Trabalho";"Consolidado";20866,83943289;10400,42853847;11628,85940067;13766,835892274;17583,67327109;20847,61157074;24060,75051982;31118,54843233;33069,50958941;37882,29016069;44149,72528958;68306,84728761;73642,00279503;69135,65372798;74287,06105652;73254,77619487;74592;76254;79336
"12";"12 - Educação";"Consolidado";56236,38469901;80798,58300753;80694,3422696924;88311,50763503;101418,03109931;123035,5476736;146091,45291177;169190,49015597;192771,8272977;217031,3207736;233129,62025752;272575,20413746;282040,44503972;326495,78914699;325799,24351223;350171,79064297;368948;374771;369016
"13";"13 - Cultura";"Consolidado";2421,98148915;2135,36558421;2243,74521427;2792,65988021;3457,36128456;4118,7194155;5149,80357769;5847,36181512;7024,47178761;7093,46832459;7854,37489869;8951,28390906;8527,27480209;8582,72096246;8020,59026295;8405,71668186;9189;9253;9745
"14";"14 - Direitos da Cidadania";"Consolidado";1318,51477934;2232,46382072;2758,54683336;3334,37271568;4090,125667;4542,71333926;5692,26962539;6541,87237189;7387,66008803;7864,75726113;9058,37873517;11270,91250901;12105,96627417;12236,69945713;14330,68705642;13914,53450546;15379;16483;15472
"15";"15 - Urbanismo";"Consolidado";12393,08065333;14730,81387207;17066,6410698526;16300,63591766;21422,75630661;27682,47167511;34362,8713945;33221,18700543;41821,8738441;41689,14378812;48996,76688706;52720,44315942;57231,60261374;59698,79767965;57751,69682653;56760,24627813;64384;69016;87894
"16";"16 - Habitação";"Consolidado";1451,87049432;1635,86086707;2343,97801467;2788,09992725;3554,09513199;3242,00516563;5314,1810045;5945,10351677;6542,10828229;6911,99639586;6878,84494303;6283,45348088;5273,37797944;5399,08052969;4782,08128748;4672,65790578;3884;4079;4161
"17";"17 - Saneamento";"Consolidado";5829,41181131;5411,021287;5453,80098207478;5564,2930287;7629,8136484;9846,07930587;12461,57187533;13211,65879809;13842,90747755;12987,73530092;15279,06396753;19289,77541379;16293,92370463;17574,19443448;15921,82950259;16460,11918465;18491;17746;19760
"18";"18 - Gestão Ambiental";"Consolidado";3390,6822142;3587,89199657;3827,27937020812;4680,74593451;4506,64405362;6395,03435234;7609,23017681;8183,90967023;9121,85547266;9225,58144313;11706,90460086;14287,22863207;14550,24791833;13303,28682807;14112,09916198;13105,99017827;14942;14643;15465
"19";"19 - Ciência e Tecnologia";"Consolidado";2284,23027441;2977,90404129;3822,3978608;4724,40634126;5313,94297003;6172,26146319;6790,44192974;8608,74430629;10146,66983145;9851,83553932;11075,27725982;14015,21103421;12879,39073167;12348,83976953;11092,35272672;11240,22855704;11411;10907;10688
"20";"20 - Agricultura";"Consolidado";8221,25523553;9789,36069135;10943,3330046366;12241,52508548;14324,91086617;16019,80598635;15600,17374413;21249,11094292;21279,16042372;22273,17178184;23316,07376314;28826,33679926;27404,52314388;30402,91704165;34522,68088697;32272,61278847;33472;31471;30618
"21";"21 - Organização Agrária";"Consolidado";1497,12343288;1532,81856437;2751,09268146;3735,99210418;4354,57591254;4932,55326539;4619,33857277;5038,2694756;4422,71163285;4345,05171619;6079,61108732;7839,49235183;4605,37744484;3206,93454692;3145,20011077;2967,90269188;2881;2099;2128
"22";"22 - Indústria";"Consolidado";2054,21548375;1639,97271101;2455,61381480768;2719,55677227;3314,2156766;4122,30109428;3748,93486253;3596,20710597;3554,62004225;3431,70780861;3461,06716152;3891,46079518;3860,00828992;3578,15770469;3337,46609423;3009,75611404;3346;3088;2569
